,train_loss,train_accuracy,test_loss,test_accuracy,train_time,test_time
0,4.6653789074524585,0.110553868286445,3.2236347502204263,0.11942675159235669,175.51528787612915,33.89062142372131
1,2.695050060291729,0.11474984015345269,2.5468588194270043,0.11285828025477707,175.9583978652954,34.775537729263306
2,2.403804569293166,0.11327125959079284,2.3914164980505683,0.12002388535031847,176.3699233531952,34.62140965461731
3,2.3451247983576393,0.11506953324808185,2.396264742893778,0.10977308917197452,176.43072938919067,33.88334083557129
4,2.3248967368279576,0.11253196930946291,2.3705411564772296,0.11723726114649681,175.40887355804443,34.25968933105469
5,2.3143484830246557,0.11437020460358056,2.362240007728528,0.11136544585987261,178.44054532051086,33.91700601577759
6,2.3083954674508567,0.11443014705882353,2.4733018677705414,0.10987261146496816,175.93763399124146,33.8845419883728
7,2.3041983105032644,0.11482976342710997,2.409865746832198,0.11713773885350319,176.90273475646973,34.12423062324524
8,2.3018407306402846,0.1148497442455243,2.337427931986037,0.11972531847133758,177.55815076828003,34.10237097740173
9,2.2992866371598697,0.1144900895140665,2.3651313204674205,0.11584394904458599,175.97630310058594,34.40581274032593
